ADENECTOMIA PROSTATICA TRANSVESICAL
ADENOIDECTOMIA + AMIGDALECTOMIA PARCIAL
ADENOMECTOMIA PROSTATICA TRANSVESICAL
AML
AML + DPR
AMPLACION DE MARGENES + INJERTO
AMPLIACION DE MARGENES + INJERTO
AMPUTACION
AMPUTACION SUPRACONDEILEA
AMPUTACION SUPRACONDILEA
APENCICECTOMIA
APENDICECTOMIA
APENDICECTOMIA ABIERTA
ARTROPLASTIA PARCIAL CEMENTADA
ARTROPLASTIA TOTAL CEMENTADA
BIOPSIA
BIOPSIA DE PENE
BIOPSIA DE PROSTATA
BIOPSIA ECOGUIADA
BIOPSIA GANGLIONAR
BIOPSIA GLANDULA SALIVAL MENOR
BTB
CAMBIO DE CANULA DE TRAQUEOTOMIA
CAMBIO DE IMPLANTE + INJERTO OSEO + OSTEOTOMIA PERONE IZQUIERDO
CAP
CESAREA
CESAREA + BTB
CESAREA +BTB
CIERRE DE PARED ABDOMINAL
CIRCUNSCISION
CIRUGIA REVISION TONILLO
COBERTURA DE PARTES BLANDAS
COBERTURA DE PARTES BLANDAS (INJERTO DE PIEL)
COLECISTECTOMIA
COLECISTECTOMIA LAPAROSCOPICA
COLELAP
COLOCACION DE CATETER TENCKHOFF
COLOCACION DE SILO
COLPO
COLPORRAFIA ANTERO POSTERIOR
CONTROL DE DAÑOS
CRANEOTOMIA + CLIPAJE
CRANEOTOMIA + EVACUACION
CRANEOTOMIA + EVACUACION DE HEMATOMA
CRANEOTOMIA + EXERESIS DE TUMOR
CRANEOTOMIA DESCOMPRESIVA + EVACUATORIA
CUPULECTOMIA + RAFI CON PLACA Y TORNILLO
CURA QUIRURGICA
CURA QUIRURGICA DE EPIDIDIMO
CURA QUIRURGICA DE ESPERMATOCELE
CURACION BAJO SEDACION
DEBRIDACION
DEBRIDACION + LIMPIEZA QUIRURGICA PIE IZQUIERDO
DEBRIDACION/DRENAJE/ TOMA DE MUESTRA PARA CULTIVO
DRENAJE +DEBRIDACION +LIMPIEZA QX
DRENAJE DE ABSCESO
DRENAJE DE HEMATOCOLPO
ECO BAAF GUIADA
ECO BAAF PAROTIDA
EVENTROPLASTIA
EXCERESIS DE OSTEOCONDROMA
EXCISION DE TUMOR
EXERESIS
EXERESIS / BIOPSIA DE QUISTE
EXERESIS + CIERRE PRIMARIA
EXERESIS + PLASTIA
EXERESIS BAJO SEDACION
EXERESIS DE ODONTOMA + PIEZA DENTARIA ECTOPICA
EXERESIS DE TUMOR
EXERESIS QX
FIJACION TRANSPEDICULAR T11 A L3 + LAMINECTOMIA DESCOMPRESIVA + ARTRODESIS
FIJADOR EXTERNO + REDUCCION BAJO ANESTESIA
GASTRECTOMIA RADICAL D2
HAT
HEMIARTROPLASTIA DE CADERA DERECHA CON PROTESIS CEMENTADA (THOMPSON)
HEMORROIDECTOMIA
HERNIOPLASTIA
HERNIOPLASTIA INGUINAL DERECHA
HERNIOPLASTIA INGUINO ESCROTAL DERECHA LAPAROSCOPICA
HERNIOTOMIA
HERNIOTOMIA DERECHA
HISTERECTOMIA
HISTERECTOMIA + BTB
HISTERECTOMIA ABDOMINAL
HISTERECTOMIA VAGINAL
INCISION + DRENAJE + LQ
LAPARATOMA EXPLORATORIA
LAPARATOMIA DIGNOSTICA
LAPARATOMIA EXPLORATORIA
LAPAROTOMIA EXPLORATORIA
LIBERACION + TENODESIS
LIMPIEZA + SUTURA
LIMPIEZA QUIRUGICA + RETIRO DE CLAVOS PELVICOS
LIMPIEZA QUIRURGICA
LIMPIEZA QUIRURGICA + COBERTURA
LIMPIEZA QUIRURGICA + COBERTURA DE PARTES BLANDAS
LIMPIEZA QX
LIMPIEZA QX + CONTROL DE DAÑO
LIMPIEZA QX + EXTRACCION CURPO EXTRAÑO
LIMPIEZA QX+ HEMOSTOMA
LPE: RESECCION DE TUMORACION
MASTECTOMIA RADICAL MODIFICADA
NEFRECTOMIA TOTAL DERECHO
OSTEOSINTESIS CON CLAVO KIRSCHENER
OSTEOSINTESIS CON PLACA Y TORNILLOS + AUTOINJERTO
OSTEOSINTESIS CON PROTESIS
POSTECTOMIA
PROTESIS PARCIAL CEMENTADA
QUISTECTOMIA
R.C. + FIJACION EXTERNA + LIMPIEZA QX.
RAFI
RAFI ( CLAVOS)
RAFI ( PLACA Y TORNILLOS)
RAFI + FIJACION CON CLAVOS ENDOMEDULAR
RAFI + PLACA BLOQUEO DISTAL
RAFI + PLACA TORNILLO
RAFI + PLACA Y TORNILLO
RAFI + PLACA Y TORNILLOS
RAFI CON 2 KISHNER + YESO
RAFI CON DOBLE PLACA Y TORNILLO
RAFI CON PLACA Y TORNILLO
RAFI CON PLACA Y TORNILLO + TORNILLO MALEOLAR
RAFI CON PLACA Y TORNILLOS
RAFI DE ROTURA DE TENDON DE AQUILES
RECONSTRUCCION PERINEAL
REDUCCION CRUENTA + FIJACION INTERNA C/PLACA BLOQUEADA + TORNILLOS
REDUCCION CRUENTA + OSTEOSINTESIS C/MINI PLACA Y TORNILLOS
